id,text,nreposts,nlikes,nviews,tag
31710,"Где два студента Вышки, там три гендера.",4,393,8660.0,Студент_ВШЭ
31707,"*на слайде Вупсень и Пупсень*П: Данный слайд иллюстрирует то, как началось моё утро. ",2,483,16763.0,Пашков_ВШЭ
31653,"*на онлайн-паре в зуме заканчивается время бесплатной конференции*П: - Ну у нас сейчас тут время закончится, поэтому мы сейчас все выйдем и зайдём нормально ещё раз, как нас в школе учили...",1,230,5583.0,Козлов_ВШЭ
31638,Олимпиадники - это не какие-то социальные меньшинства.,3,273,6170.0,Сорвин_ВШЭ
31629,С каждым семинаром я всё больше чувствую себя блогером-неудачником...,4,262,5853.0,Долгов_ВШЭ
31609,The president is elected for 4 years.... in normal states. ,2,264,6921.0,Алтухов_ВШЭ
31605,"*препод недавно провел очный семинар, а после выяснилось, что один из студентов группы болен коронавирусом*С: Как ваше здоровье?П: Не дождетесь. С: ???П: Зараза заразу не берет.",9,333,7689.0,Ковалев_ВШЭ
31547,"П: Кто дышит?С: Все.П: У вас что, групповое дыхание?!",4,216,7443.0,Нагих_ВШЭ
31537,"Не откладывай на завтра то, у чего завтра дедлайн.",34,996,19345.0,Студент_ВШЭ
31529,"Обломов был совсем не на чилле, его регулярно пинал Штольц.",9,298,6480.0,Гуляев_ВШЭ
31463,"Людям стало понятно, что Запад вовсе не загнивает, а если и загнивает, то хорошо бы и нам так загнить. ",4,209,6470.0,Бахметьев_ВШЭ
31345,Надо чуть-чуть сойти с ума. Шизоидность - основа креативности.,2,219,5556.0,Князева_ВШЭ
31260,"Три главных слова в нашей жизни это: Word, Excel и PowerPoint.",4,323,6129.0,Бейлина_ВШЭ
31244,"If everything is clear, we can go and have a beer.",13,234,7886.0,Кузина_ВШЭ
31207,"- Страдает институт законотворчества.- Да у нас в России все институты слабенькие.- Нет, Вышка хороший институт.",3,289,7245.0,Рудаковский_ВШЭ
31101,Ты юристка или как? Больше стервозности!,21,382,18482.0,Нагих_ВШЭ
31091,"Кто умер - тот, как говорится, умер.",0,246,6878.0,Нагих_ВШЭ
31084,"У них был платонический роман - только чай, только торт, и ничего больше. ",2,313,8279.0,Почекаев_ВШЭ
31052,"П: Зачем я о Петре Первом заговорил?С: Из-за мема с Кончитой Вурст...П: Так, а о Кончите Вурст я зачем заговорил?",1,300,8433.0,Кононенко_ВШЭ
31051,- Возлежать и пить вино с мужиками считалось времяпрепровождением максимально кайфовым.,2,285,6001.0,Алиев_ВШЭ
30995,"На вопрос о своей национальности человек может вам ответить, что он эльф или гоблин. И вам некуда деваться, придётся так в исследовании и указывать, что он гоблин. ",3,230,8286.0,Даудрих_ВШЭ
30982,Вы конституцию США читали?? Ну эт ржака.,1,279,7284.0,Преподаватель_ВШЭ
30890,"Грубо говоря, но мягко выражаясь.",1,246,6978.0,Нагих_ВШЭ
30864,"*студентка тянет руку*П: Да?С: Нет, я потягивалась.П: Как обидно.",1,264,5574.0,Жаворонкова_ВШЭ
30852,"Сколько гуманитариев нужно, чтобы включить конференцию?",4,352,8151.0,Бахметьев_ВШЭ
30836,Социальные круги под глазами.,0,237,5348.0,Кононенкоа_ВШЭ
30801,"*внезапно голосом ведущего ""сдохни или умри"" * Это программа ""Исследуй или получи два""! Сидите дома, и Вам нечем заняться?! Напишите эссе! Иначе у вас в квартире заведутся карликовые пантеры!"" ",2,251,7224.0,Кононенко_ВШЭ
30775,"Вот представьте, вы приходите к родителям и говорите: ""Мама, папа, я становлюсь хикки!"" Что вам ответят среднестатистические российские родители? ""Сынок, с нынешними темпами экономического роста российская экономика не может себе позволить тебя содержать."" Так наверное они вам ответят.",3,219,6712.0,Мельник_ВШЭ
30723,"- Вообще введение в специальность у вас должно было быть 1 сентября, но у вас там какой-то закон Божий был... как же это называется то... ОБЖ?",6,246,5376.0,Штейнер_ВШЭ
